Genesis 1:14	120	mark	john-mark	john-mark
Genesis 3:17	3	Adam	adam	adam
Genesis 3:20	24	Eve	eve	eve
Genesis 3:21	42	Adam	adam	adam
Genesis 4:1	13	Eve	eve	eve
Genesis 4:1	60	Cain	cain	cain
Genesis 4:2	25	Cain	cain	cain
Genesis 4:2	40	Abel	abel	abel
Genesis 4:2	46	Abel	abel	abel
Genesis 4:2	78	Cain	cain	cain
Genesis 4:3	16	Cain	cain	cain
Genesis 4:4	0	Abel	abel	abel
Genesis 4:4	86	Abel	abel	abel
Genesis 4:5	22	Cain	cain	cain
Genesis 4:5	45	Cain	cain	cain
Genesis 4:6	15	Cain	cain	cain
Genesis 4:8	0	Cain	cain	cain
Genesis 4:8	13	Abel	abel	abel
Genesis 4:8	89	Cain	cain	cain
Genesis 4:8	110	Abel	abel	abel
Genesis 4:9	15	Cain	cain	cain
Genesis 4:9	31	Abel	abel	abel
Genesis 4:13	0	Cain	cain	cain
Genesis 4:15	45	Cain	cain	cain
Genesis 4:15	122	Cain	cain	cain
Genesis 4:16	0	Cain	cain	cain
Genesis 4:17	0	Cain	cain	cain
Genesis 4:17	53	Enoch	-	enoch
Genesis 4:17	137	Enoch	-	enoch
Genesis 4:18	3	Enoch	-	enoch
Genesis 4:22	32	Cain	cain	cain
Genesis 4:22	102	Cain	cain	cain
Genesis 4:24	3	Cain	cain	cain
Genesis 4:25	0	Adam	adam	adam
Genesis 4:25	126	Abel	abel	abel
Genesis 4:25	136	Cain	cain	cain
Genesis 5:1	39	Adam	adam	adam
Genesis 5:2	96	Adam	adam	adam
Genesis 5:3	0	Adam	adam	adam
Genesis 5:4	12	Adam	adam	adam
Genesis 5:5	18	Adam	adam	adam
Genesis 5:18	67	Enoch	enoch	enoch
Genesis 5:19	42	Enoch	enoch	enoch
Genesis 5:21	0	Enoch	enoch	enoch
Genesis 5:22	26	Enoch	enoch	enoch
Genesis 5:23	16	Enoch	enoch	enoch
Genesis 5:24	0	Enoch	enoch	enoch
Genesis 5:29	13	Noah	noah	noah
Genesis 5:30	43	Noah	noah	noah
Genesis 5:32	0	Noah	noah	noah
Genesis 5:32	38	Noah	noah	noah
Genesis 6:8	4	Noah	noah	noah
Genesis 6:9	42	Noah	noah	noah
Genesis 6:9	48	Noah	noah	noah
Genesis 6:9	114	Noah	noah	noah
Genesis 6:10	0	Noah	noah	noah
Genesis 6:13	12	Noah	noah	noah
Genesis 6:22	5	Noah	noah	noah
Genesis 7:1	15	Noah	noah	noah
Genesis 7:5	0	Noah	noah	noah
Genesis 7:6	0	Noah	noah	noah
Genesis 7:7	0	Noah	noah	noah
Genesis 7:9	17	Noah	noah	noah
Genesis 7:9	71	Noah	noah	noah
Genesis 7:11	29	Noah	noah	noah
Genesis 7:13	16	Noah	noah	noah
Genesis 7:13	63	Noah	noah	noah
Genesis 7:13	74	Noah	noah	noah
Genesis 7:15	75	Noah	noah	noah
Genesis 7:23	178	Noah	noah	noah
Genesis 8:1	15	Noah	noah	noah
Genesis 8:6	26	Noah	noah	noah
Genesis 8:11	100	Noah	noah	noah
Genesis 8:13	120	Noah	noah	noah
Genesis 8:15	13	Noah	noah	noah
Genesis 8:18	0	Noah	noah	noah
Genesis 8:20	0	Noah	noah	noah
Genesis 9:1	12	Noah	noah	noah
Genesis 9:8	13	Noah	noah	noah
Genesis 9:17	12	Noah	noah	noah
Genesis 9:18	12	Noah	noah	noah
Genesis 9:19	29	Noah	noah	noah
Genesis 9:20	0	Noah	noah	noah
Genesis 9:24	0	Noah	noah	noah
Genesis 9:28	0	Noah	noah	noah
Genesis 9:29	16	Noah	noah	noah
Genesis 10:1	58	Noah	noah	noah
Genesis 10:32	38	Noah	noah	noah
Genesis 11:26	52	Abram	abraham	abraham
Genesis 11:27	80	Abram	abraham	abraham
Genesis 11:29	0	Abram	abraham	abraham
Genesis 11:29	43	Abram	abraham	abraham
Genesis 11:29	60	Sarai	sarah	sarah
Genesis 11:30	0	Sarai	sarah	sarah
Genesis 11:31	11	Abram	abraham	abraham
Genesis 11:31	67	Sarai	sarah	sarah
Genesis 11:31	102	Abram	abraham	abraham
Genesis 12:1	19	Abram	abraham	abraham
Genesis 12:4	3	Abram	abraham	abraham
Genesis 12:4	58	Abram	abraham	abraham
Genesis 12:5	0	Abram	abraham	abraham
Genesis 12:5	11	Sarai	sarah	sarah
Genesis 12:6	0	Abram	abraham	abraham
Genesis 12:7	19	Abram	abraham	abraham
Genesis 12:9	0	Abram	abraham	abraham
Genesis 12:10	32	Abram	abraham	abraham
Genesis 12:11	49	Sarai	sarah	sarah
Genesis 12:14	5	Abram	abraham	abraham
Genesis 12:16	19	Abram	abraham	abraham
Genesis 12:17	69	Sarai	sarah	sarah
Genesis 12:17	76	Abram	abraham	abraham
Genesis 12:18	15	Abram	abraham	abraham
Genesis 13:1	0	Abram	abraham	abraham
Genesis 13:2	0	Abram	abraham	abraham
Genesis 13:4	71	Abram	abraham	abraham
Genesis 13:5	24	Abram	abraham	abraham
Genesis 13:7	41	Abram	abraham	abraham
Genesis 13:8	0	Abram	abraham	abraham
Genesis 13:12	0	Abram	abraham	abraham
Genesis 13:14	15	Abram	abraham	abraham
Genesis 13:18	0	Abram	abraham	abraham
Genesis 14:12	15	Abram	abraham	abraham
Genesis 14:13	34	Abram	abraham	abraham
Genesis 14:13	175	Abram	abraham	abraham
Genesis 14:14	5	Abram	abraham	abraham
Genesis 14:18	0	Melchizedek	melchizedek	melchizedek
Genesis 14:19	38	Abram	abraham	abraham
Genesis 14:20	78	Abram	abraham	abraham
Genesis 14:21	26	Abram	abraham	abraham
Genesis 14:22	0	Abram	abraham	abraham
Genesis 14:23	111	Abram	abraham	abraham
Genesis 15:1	41	Abram	abraham	abraham
Genesis 15:1	86	Abram	abraham	abraham
Genesis 15:2	0	Abram	abraham	abraham
Genesis 15:3	0	Abram	abraham	abraham
Genesis 15:5	128	Abram	abraham	abraham
Genesis 15:7	11	Abram	abraham	abraham
Genesis 15:9	85	ram	-	ram-son-of-hezron
Genesis 15:11	50	Abram	abraham	abraham
Genesis 15:12	50	Abram	abraham	abraham
Genesis 15:13	11	Abram	abraham	abraham
Genesis 15:18	40	Abram	abraham	abraham
Genesis 16:1	4	Sarai	sarah	sarah
Genesis 16:1	11	Abram	abraham	abraham
Genesis 16:1	94	Hagar	hagar	hagar
Genesis 16:2	0	Sarai	sarah	sarah
Genesis 16:2	14	Abram	abraham	abraham
Genesis 16:2	145	Abram	abraham	abraham
Genesis 16:2	176	Sarai	sarah	sarah
Genesis 16:3	0	Sarai	sarah	sarah
Genesis 16:3	7	Abram	abraham	abraham
Genesis 16:3	26	Hagar	hagar	hagar
Genesis 16:3	65	Abram	abraham	abraham
Genesis 16:3	130	Abram	abraham	abraham
Genesis 16:4	14	Hagar	hagar	hagar
Genesis 16:5	0	Sarai	sarah	sarah
Genesis 16:5	14	Abram	abraham	abraham
Genesis 16:6	4	Abram	abraham	abraham
Genesis 16:6	18	Sarai	sarah	sarah
Genesis 16:6	103	Sarai	sarah	sarah
Genesis 16:8	10	Hagar	hagar	hagar
Genesis 16:8	17	Sarai	sarah	sarah
Genesis 16:8	134	Sarai	sarah	sarah
Genesis 16:15	0	Hagar	hagar	hagar
Genesis 16:15	21	Abram	abraham	abraham
Genesis 16:15	28	Abram	abraham	abraham
Genesis 16:15	67	Hagar	hagar	hagar
Genesis 16:16	0	Abram	abraham	abraham
Genesis 16:16	36	Hagar	hagar	hagar
Genesis 16:16	58	Abram	abraham	abraham
Genesis 17:1	5	Abram	abraham	abraham
Genesis 17:1	57	Abram	abraham	abraham
Genesis 17:3	0	Abram	abraham	abraham
Genesis 17:5	33	Abram	abraham	abraham
Genesis 17:5	62	Abraham	abraham	abraham
Genesis 17:9	12	Abraham	abraham	abraham
Genesis 17:15	12	Abraham	abraham	abraham
Genesis 17:15	29	Sarai	sarah	sarah
Genesis 17:15	74	Sarai	sarah	sarah
Genesis 17:15	102	Sarah	sarah	sarah
Genesis 17:17	5	Abraham	abraham	abraham
Genesis 17:17	131	Sarah	sarah	sarah
Genesis 17:18	0	Abraham	abraham	abraham
Genesis 17:19	19	Sarah	sarah	sarah
Genesis 17:19	82	Isaac	isaac	isaac
Genesis 17:21	33	Isaac	isaac	isaac
Genesis 17:21	45	Sarah	sarah	sarah
Genesis 17:22	52	Abraham	abraham	abraham
Genesis 17:23	0	Abraham	abraham	abraham
Genesis 17:23	130	Abraham	abraham	abraham
Genesis 17:24	0	Abraham	abraham	abraham
Genesis 17:26	21	Abraham	abraham	abraham
Genesis 18:6	0	Abraham	abraham	abraham
Genesis 18:6	33	Sarah	sarah	sarah
Genesis 18:7	0	Abraham	abraham	abraham
Genesis 18:9	26	Sarah	sarah	sarah
Genesis 18:10	83	Sarah	sarah	sarah
Genesis 18:10	117	Sarah	sarah	sarah
Genesis 18:11	4	Abraham	abraham	abraham
Genesis 18:11	16	Sarah	sarah	sarah
Genesis 18:11	54	Sarah	sarah	sarah
Genesis 18:12	0	Sarah	sarah	sarah
Genesis 18:13	15	Abraham	abraham	abraham
Genesis 18:13	33	Sarah	sarah	sarah
Genesis 18:14	104	Sarah	sarah	sarah
Genesis 18:15	5	Sarah	sarah	sarah
Genesis 18:16	53	Abraham	abraham	abraham
Genesis 18:17	31	Abraham	abraham	abraham
Genesis 18:18	6	Abraham	abraham	abraham
Genesis 18:19	202	Abraham	abraham	abraham
Genesis 18:22	54	Abraham	abraham	abraham
Genesis 18:23	0	Abraham	abraham	abraham
Genesis 18:27	0	Abraham	abraham	abraham
Genesis 18:33	63	Abraham	abraham	abraham
