1 Chronicles 10:10	topic	the-temple	WEB=0	KJV=1:the temple	ASV=0
1 Chronicles 11:16	location	bethlehem	WEB=1:Bethlehem	KJV=1:Bethlehem	ASV=0
1 Chronicles 11:17	location	bethlehem	WEB=1:Bethlehem	KJV=1:Bethlehem	ASV=0
1 Chronicles 11:18	location	bethlehem	WEB=1:Bethlehem	KJV=1:Bethlehem	ASV=0
1 Chronicles 11:26	location	bethlehem	WEB=1:Bethlehem	KJV=1:Bethlehem	ASV=0
1 Chronicles 11:5	person	david	WEB=3:David	KJV=2:David	ASV=2:David
1 Chronicles 11:5	poi	city-of-david	WEB=0	KJV=1:city of David	ASV=1:city of David
1 Chronicles 11:7	person	david	WEB=2:David	KJV=1:David	ASV=1:David
1 Chronicles 11:7	poi	city-of-david	WEB=0	KJV=1:city of David	ASV=1:city of David
1 Chronicles 12:15	location	jordan-river	WEB=1:the Jordan	KJV=0	ASV=1:the Jordan
1 Chronicles 12:27	person	aaron	WEB=1:Aaron	KJV=0	ASV=1:Aaron
1 Chronicles 12:37	location	jordan-river	WEB=1:the Jordan	KJV=0	ASV=1:the Jordan
1 Chronicles 13:13	person	david	WEB=2:David	KJV=1:David	ASV=1:David
1 Chronicles 13:13	poi	city-of-david	WEB=0	KJV=1:city of David	ASV=1:city of David
1 Chronicles 13:6	topic	cherubim	WEB=1:cherubim	KJV=0	ASV=1:cherubim
1 Chronicles 15:1	person	david	WEB=2:David	KJV=1:David	ASV=1:David
1 Chronicles 15:1	poi	city-of-david	WEB=0	KJV=1:city of David	ASV=1:city of David
1 Chronicles 15:24	person	jehoshaphat	WEB=0	KJV=1:Jehoshaphat	ASV=0
1 Chronicles 15:29	person	david	WEB=2:David	KJV=1:David	ASV=1:David
1 Chronicles 15:29	poi	city-of-david	WEB=0	KJV=1:city of David	ASV=1:city of David
1 Chronicles 17:5	topic	tabernacle	WEB=0	KJV=1:tabernacle	ASV=1:tabernacle
1 Chronicles 18:6	location	damascus	WEB=1:Damascus	KJV=0	ASV=1:Damascus
1 Chronicles 19:17	location	jordan-river	WEB=1:the Jordan	KJV=0	ASV=1:the Jordan
1 Chronicles 1:13	location	sidon	WEB=1:Sidon	KJV=0	ASV=1:Sidon
1 Chronicles 1:3	person	enoch	WEB=1:Enoch	KJV=0	ASV=1:Enoch
1 Chronicles 21:2	poi	beersheba	WEB=1:Beersheba	KJV=1:Beersheba	ASV=0
1 Chronicles 23:27	topic	levites	WEB=0	KJV=1:Levites	ASV=0
1 Chronicles 23:4	person	david	WEB=1:David	KJV=0	ASV=0
1 Chronicles 23:5	person	david	WEB=0	KJV=1:David	ASV=1:David
1 Chronicles 26:16	topic	casting-lots	WEB=0	KJV=1:the lot	ASV=0
1 Chronicles 26:30	location	jordan-river	WEB=1:the Jordan	KJV=0	ASV=1:the Jordan
1 Chronicles 27:17	person	aaron	WEB=1:Aaron	KJV=0	ASV=1:Aaron
1 Chronicles 27:17	topic	levites	WEB=0	KJV=1:Levites	ASV=0
